,Lon_N,Lat_N,Lon_S,Lat_S
614,143.297,83.1843,202.813,-85.3744
615,143.318,83.206,202.536,-85.3766
616,143.339,83.2276,202.258,-85.3787
617,143.361,83.2492,201.98,-85.3808
618,143.384,83.2709,201.703,-85.3828
619,143.406,83.2925,201.425,-85.3847
620,143.43,83.3142,201.147,-85.3865
621,143.454,83.3358,200.868,-85.3882
622,143.478,83.3575,200.59,-85.3899
623,143.503,83.3791,200.312,-85.3916
624,143.528,83.4008,200.034,-85.3931
625,143.554,83.4225,199.756,-85.3946
626,143.581,83.4441,199.477,-85.396
627,143.608,83.4658,199.199,-85.3973
628,143.636,83.4875,198.92,-85.3986
629,143.664,83.5092,198.642,-85.3998
630,143.692,83.5309,198.364,-85.4009
631,143.722,83.5525,198.085,-85.4019
632,143.752,83.5742,197.807,-85.4029
633,143.782,83.5959,197.528,-85.4038
634,143.813,83.6176,197.25,-85.4046
635,143.845,83.6393,196.971,-85.4054
636,143.877,83.661,196.693,-85.4061
637,143.91,83.6827,196.415,-85.4067
638,143.943,83.7044,196.136,-85.4072
639,143.977,83.7261,195.858,-85.4077
640,144.012,83.7478,195.58,-85.4081
641,144.047,83.7695,195.302,-85.4084
642,144.083,83.7912,195.024,-85.4086
643,144.12,83.8129,194.746,-85.4088
644,144.157,83.8346,194.468,-85.4089
645,144.195,83.8563,194.19,-85.4089
646,144.234,83.878,193.913,-85.4089
647,144.273,83.8997,193.635,-85.4088
648,144.313,83.9214,193.358,-85.4086
649,144.354,83.9431,193.081,-85.4083
650,144.395,83.9648,192.803,-85.408
651,144.437,83.9865,192.526,-85.4076
652,144.48,84.0082,192.249,-85.4071
653,144.524,84.0299,191.973,-85.4066
654,144.568,84.0516,191.696,-85.406
655,144.613,84.0733,191.42,-85.4053
656,144.659,84.0949,191.144,-85.4045
657,144.706,84.1166,190.868,-85.4037
658,144.753,84.1383,190.592,-85.4028
659,144.801,84.16,190.316,-85.4018
660,144.85,84.1816,190.041,-85.4007
661,144.9,84.2033,189.766,-85.3996
662,144.95,84.225,189.491,-85.3984
663,145.002,84.2466,189.216,-85.3971
