Lon_io_S,Lon_ifp_S,Lat_ifp_S,Lon_io_N,Lon_ifp_N,Lat_ifp_N
265,-80.5357,-71.0207,265,224.079,62.6008
265.1,-80.424,-71.0064,265.1,224.173,62.6204
265.2,-80.3123,-70.9922,265.2,224.268,62.6401
265.3,-80.2007,-70.9779,265.3,224.362,62.6597
265.4,-80.0892,-70.9637,265.4,224.457,62.6793
265.5,-79.9778,-70.9494,265.5,224.551,62.699
265.6,-79.8665,-70.9352,265.6,224.646,62.7186
265.7,-79.7552,-70.921,265.7,224.742,62.7382
265.8,-79.6442,-70.9068,265.8,224.837,62.7579
265.9,-79.5331,-70.8926,265.9,224.932,62.7775
266,-79.4221,-70.8784,266,225.028,62.7971
266.1,-79.3112,-70.8642,266.1,225.124,62.8167
266.2,-79.2004,-70.85,266.2,225.22,62.8364
266.3,-79.0897,-70.8359,266.3,225.316,62.856
266.4,-78.9791,-70.8217,266.4,225.412,62.8756
